region_key,region_name,country,sub_region,city_tier,population_band
10,Stockholm,Sweden,SW-STO,Metro,1M+
11,Gothenburg,Sweden,SW-GOT,Large,300k-1M
12,Malmo/Skane,Sweden,SW-MAL,Large,300k-1M
13,Uppsala,Sweden,SW-UPP,Large,300k-1M
14,Ostergotland,Sweden,SW-OST,Small,<100k
15,Norrland,Sweden,SW-NOR,Metro,1M+
16,Oslo,Norway,NO-OSL,Small,<100k
17,Bergen/Vestland,Norway,NO-BER,Medium,100k-300k
18,Trondelag,Norway,NO-TRO,Large,300k-1M
19,Rogaland,Norway,NO-ROG,Medium,100k-300k
20,Nord-Norge,Norway,NO-NOR,Large,300k-1M
21,Copenhagen/Hovedstaden,Denmark,DE-COP,Medium,100k-300k
22,Aarhus/Midtjylland,Denmark,DE-AAR,Medium,100k-300k
23,Syddanmark,Denmark,DE-SYD,Metro,1M+
24,Sjaelland,Denmark,DE-SJA,Metro,1M+
25,Nordjylland,Denmark,DE-NOR,Large,300k-1M
26,Helsinki/Uusimaa,Finland,FI-HEL,Large,300k-1M
27,Tampere/Pirkanmaa,Finland,FI-TAM,Large,300k-1M
28,Turku,Finland,FI-TUR,Metro,1M+
29,Oulu,Finland,FI-OUL,Metro,1M+
30,Lapland,Finland,FI-LAP,Large,300k-1M
31,Kuopio,Finland,FI-KUO,Medium,100k-300k
