finance_id,month_key,product_key,retailer_key,units_sold,list_price_eur,cogs_per_unit_eur,excise_duty_per_unit_eur,gross_revenue_eur,trade_investment_eur,off_invoice_spend_eur,on_invoice_spend_eur,excise_duty_total_eur,logistics_cost_eur,net_revenue_eur,gross_margin_eur,gross_margin_pct
1,202001,1002,101,2020,2.441,1.006,0.09,4770.15,962.1,610.61,351.5,181.8,139.03,3626.25,1454.16,30.48
2,202001,1002,102,1347,2.488,0.903,0.09,3198.12,664.64,356.15,308.49,121.23,99.45,2412.25,1096.24,34.28
3,202001,1002,103,1706,2.494,0.867,0.09,3957.35,746.4,521.16,225.24,153.54,101.2,3057.41,1476.62,37.31
4,202001,1002,106,3323,2.613,1.052,0.09,7365.42,915.9,570.24,345.66,299.07,223.8,6150.45,2430.61,33.0
5,202001,1002,107,3989,2.467,1.293,0.09,8626.67,872.0,508.15,363.85,359.01,338.28,7395.66,1899.61,22.02
6,202001,1002,108,2617,2.564,1.068,0.09,6175.63,769.33,461.69,307.64,235.53,143.54,5170.77,2231.52,36.13
7,202001,1002,109,4906,2.503,1.017,0.09,11624.16,1954.62,1051.65,902.97,441.54,153.83,9228.0,4085.0,35.14
8,202001,1002,110,12276,2.449,1.263,0.09,28599.67,4912.15,3832.26,1079.89,1104.84,613.3,22582.68,6468.16,22.62
9,202001,1003,100,3412,2.175,1.068,0.027,6533.61,1026.5,813.9,212.6,92.12,162.51,5414.99,1607.31,24.6
10,202001,1003,102,4098,1.981,1.022,0.027,7579.7,1574.0,806.2,767.8,110.65,364.73,5895.05,1343.98,17.73
11,202001,1003,103,1869,2.208,0.688,0.027,3637.97,421.51,307.77,113.74,50.46,157.64,3166.0,1722.0,47.33
12,202001,1003,104,3169,2.07,1.006,0.027,6070.16,796.24,509.21,287.02,85.56,237.75,5188.36,1761.06,29.01
13,202001,1003,108,1389,2.194,1.0,0.027,2715.22,242.09,128.08,114.0,37.5,117.95,2435.63,929.34,34.23
14,202001,1003,109,8613,2.192,0.899,0.027,16409.96,3214.76,2131.83,1082.93,232.55,422.89,12962.65,4799.39,29.25
15,202001,1003,110,7183,2.112,0.823,0.027,13908.63,1555.32,791.98,763.34,193.94,632.86,12159.37,5613.41,40.36
16,202001,1007,101,3763,0.655,0.305,0.0198,2227.75,192.99,118.21,74.78,74.51,252.82,1960.26,559.63,25.12
17,202001,1007,102,4724,0.651,0.237,0.0198,2778.93,366.74,282.41,84.34,93.54,362.8,2318.65,837.95,30.15
18,202001,1007,103,741,0.66,0.325,0.0198,448.86,76.78,59.66,17.12,14.67,43.86,357.41,72.5,16.15
19,202001,1007,104,6038,0.667,0.278,0.0198,3492.78,491.54,301.98,189.56,119.55,495.73,2881.69,708.39,20.28
20,202001,1007,105,2424,0.674,0.279,0.0198,1419.27,214.6,116.32,98.28,48.0,169.61,1156.67,310.69,21.89
21,202001,1007,108,2985,0.664,0.237,0.0198,1794.35,171.1,118.73,52.37,59.1,157.15,1564.15,700.17,39.02
22,202001,1007,110,8201,0.627,0.255,0.0198,4833.63,913.83,628.27,285.56,162.38,596.63,3757.42,1070.47,22.15
23,202001,1011,100,2523,2.41,0.794,0.0792,5437.12,730.16,456.57,273.6,199.82,131.79,4507.14,2372.61,43.64
24,202001,1011,102,3498,2.318,1.158,0.0792,7435.18,1133.58,734.93,398.65,277.04,275.28,6024.55,1698.27,22.84
25,202001,1011,104,6848,2.359,0.874,0.0792,14319.11,1231.44,873.74,357.7,542.36,283.13,12545.31,6275.11,43.82
26,202001,1011,106,2275,2.411,0.909,0.0792,4853.09,616.81,393.11,223.7,180.18,183.35,4056.1,1805.06,37.19
27,202001,1011,108,4098,2.503,0.87,0.0792,8567.48,1405.16,1051.17,353.99,324.56,232.31,6837.76,3039.24,35.47
28,202001,1011,110,8414,2.263,1.172,0.0792,18190.04,2369.01,1348.33,1020.68,666.39,418.97,15154.64,4876.1,26.81
29,202001,1014,100,2027,0.779,0.376,0.0198,1423.52,193.88,126.34,67.53,40.13,82.67,1189.51,343.89,24.16
30,202001,1014,101,2978,0.722,0.366,0.0198,1919.63,241.23,125.29,115.94,58.96,243.06,1619.44,287.78,14.99
31,202001,1014,102,3430,0.767,0.378,0.0198,2447.28,456.0,295.62,160.37,67.91,194.93,1923.37,433.21,17.7
32,202001,1014,103,2217,0.757,0.253,0.0198,1572.93,340.01,177.45,162.56,43.9,85.94,1189.02,543.09,34.53
33,202001,1014,105,2078,0.768,0.382,0.0198,1424.34,205.17,130.2,74.97,41.14,176.22,1178.03,207.83,14.59
34,202001,1014,108,2531,0.794,0.282,0.0198,1785.97,260.06,173.4,86.67,50.11,226.62,1475.79,535.72,30.0
35,202001,1014,110,9726,0.732,0.323,0.0198,6855.6,974.33,738.2,236.13,192.57,403.66,5688.69,2140.12,31.22
36,202001,1020,100,2150,0.703,0.338,0.0,1391.88,277.0,158.94,118.07,0.0,89.1,1114.88,298.51,21.45
37,202001,1020,102,3330,0.718,0.289,0.0,2136.12,366.5,224.14,142.36,0.0,114.4,1769.62,693.08,32.45
