promo_event_id,promo_key,product_key,retailer_key,region_key,start_date_key,end_date_key,planned_discount_pct,promo_price_eur,planned_units,display_flag,feature_flag
500000,201,1000,100,11,202221,202223,0.254,0.57,1042,0,1
500001,203,1000,100,11,202240,202241,0.32,0.52,751,1,1
500002,201,1000,100,11,202308,202310,0.192,0.61,563,0,1
500003,200,1000,100,11,202324,202324,0.12,0.67,365,0,0
500004,202,1000,100,11,202338,202339,0.088,0.69,518,1,0
500005,201,1000,100,11,202411,202412,0.166,0.63,671,0,1
500006,201,1000,100,11,202414,202414,0.245,0.57,362,0,1
500007,205,1000,100,11,202423,202424,0.065,0.71,838,0,0
500008,200,1000,100,11,202427,202428,0.188,0.62,692,0,0
500009,206,1000,100,11,202433,202433,0.056,0.72,446,0,0
500010,201,1000,100,11,202437,202437,0.244,0.57,387,0,1
500011,201,1000,100,11,202450,202450,0.161,0.64,298,0,1
500012,201,1000,100,11,202452,202452,0.187,0.62,267,0,1
500013,201,1000,100,11,202519,202521,0.185,0.62,1480,0,1
500014,206,1000,100,12,202137,202139,0.053,0.72,584,0,0
500015,203,1000,100,12,202211,202213,0.274,0.55,884,1,1
500016,206,1000,100,12,202215,202215,0.051,0.72,195,0,0
500017,200,1000,100,12,202241,202241,0.124,0.67,295,0,0
500018,204,1000,100,12,202243,202244,0.365,0.48,545,0,0
500019,203,1000,100,12,202335,202335,0.299,0.53,386,1,1
500020,206,1000,100,12,202349,202349,0.041,0.73,154,0,0
500021,200,1000,100,12,202352,202352,0.179,0.62,241,0,0
500022,200,1000,100,12,202402,202404,0.119,0.67,669,0,0
500023,205,1000,100,12,202409,202409,0.092,0.69,155,0,0
500024,206,1000,100,12,202438,202440,0.042,0.73,497,0,0
500025,201,1000,100,12,202448,202449,0.244,0.57,783,0,1
500026,201,1000,100,12,202507,202507,0.234,0.58,230,0,1
500027,205,1000,100,12,202515,202517,0.094,0.69,648,0,0
500028,201,1000,100,12,202522,202523,0.249,0.57,901,0,1
500029,206,1000,100,12,202525,202526,0.037,0.73,705,0,0
500030,205,1000,100,12,202531,202532,0.101,0.68,754,0,0
500031,204,1000,100,12,202616,202617,0.266,0.56,536,0,0
500032,202,1000,100,12,202623,202623,0.075,0.7,324,1,0
500033,205,1000,100,10,202139,202139,0.064,0.71,225,0,0
500034,203,1000,100,10,202141,202142,0.312,0.52,639,1,1
500035,201,1000,100,10,202151,202201,0.241,0.58,792,0,1
500036,206,1000,100,10,202212,202213,0.048,0.72,427,0,0
500037,202,1000,100,10,202221,202223,0.078,0.7,849,1,0
500038,203,1000,100,10,202232,202234,0.289,0.54,1501,1,1
500039,204,1000,100,10,202314,202314,0.266,0.56,245,0,0
500040,206,1000,100,10,202329,202330,0.05,0.72,560,0,0
500041,200,1000,100,10,202331,202331,0.181,0.62,271,0,0
500042,206,1000,100,10,202333,202335,0.064,0.71,947,0,0
500043,200,1000,100,10,202405,202405,0.173,0.63,208,0,0
500044,201,1000,100,10,202524,202526,0.226,0.59,1191,0,1
500045,204,1000,100,10,202527,202529,0.29,0.54,1361,0,0
500046,203,1000,100,10,202540,202540,0.299,0.53,303,1,1
500047,200,1000,100,10,202549,202551,0.132,0.66,650,0,0
500048,202,1000,100,10,202603,202603,0.09,0.69,222,1,0
500049,206,1000,100,10,202611,202612,0.055,0.72,584,0,0
500050,206,1000,100,10,202619,202620,0.048,0.72,555,0,0
500051,201,1000,100,13,202205,202205,0.159,0.64,507,0,1
500052,205,1000,100,13,202228,202230,0.097,0.69,1846,0,0
500053,206,1000,100,13,202236,202238,0.037,0.73,1105,0,0
500054,203,1000,100,13,202249,202250,0.253,0.57,1080,1,1
500055,206,1000,100,13,202302,202304,0.048,0.72,1067,0,0
500056,205,1000,100,13,202310,202310,0.068,0.71,482,0,0
500057,202,1000,100,13,202328,202328,0.128,0.66,1049,1,0
500058,201,1000,100,13,202411,202412,0.241,0.58,1350,0,1
500059,203,1000,100,13,202452,202452,0.222,0.59,670,1,1
500060,206,1000,100,13,202525,202527,0.065,0.71,2493,0,0
500061,204,1000,100,13,202538,202540,0.248,0.57,2413,0,0
500062,202,1000,100,13,202606,202606,0.127,0.66,478,1,0
500063,205,1000,100,13,202627,202627,0.082,0.7,1820,0,0
500064,204,1000,100,15,202137,202138,0.341,0.5,652,0,0
500065,200,1000,100,15,202144,202144,0.16,0.64,150,0,0
500066,206,1000,100,15,202206,202208,0.05,0.72,390,0,0
500067,204,1000,100,15,202214,202215,0.387,0.47,562,0,0
500068,204,1000,100,15,202223,202224,0.304,0.53,874,0,0
500069,206,1000,100,15,202336,202337,0.041,0.73,437,0,0
500070,202,1000,100,15,202403,202405,0.071,0.71,556,1,0
500071,200,1000,100,15,202406,202407,0.185,0.62,418,0,0
500072,203,1000,100,15,202417,202417,0.324,0.51,323,1,1
500073,200,1000,100,15,202501,202501,0.151,0.64,135,0,0
500074,203,1000,100,15,202510,202511,0.2,0.61,574,1,1
500075,201,1000,100,15,202609,202609,0.238,0.58,255,0,1
500076,206,1003,100,11,202007,202007,0.041,1.88,105,0,0
500077,200,1003,100,11,202028,202030,0.154,1.66,841,0,0
500078,200,1003,100,11,202104,202106,0.119,1.73,380,0,0
500079,200,1003,100,11,202107,202108,0.158,1.65,350,0,0
